rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
2165,002571,德力股份,2026-07-14,2026-07-14,513,-0.03152172211188904,0.13333333333333333,120,10.0,0.04548607396874355,0.6,-0.01916941090138269,0.21666666666666667,240,0.1,0.06487364840456337,0.5833333333333334
2166,002941,新疆交建,2026-07-14,2026-07-14,518,-0.031527071093985504,0.11666666666666667,240,10.0,0.04528645747479022,0.7,-0.07776785489354775,0.05,240,10.0,0.06171070452429481,0.7666666666666667
2167,000048,京基智农,2026-07-14,2026-07-14,518,-0.03154709670696404,0.36666666666666664,240,10.0,0.09163454239491771,0.38333333333333336,-0.1012955829981469,0.26666666666666666,240,10.0,0.14682818967662803,0.6166666666666667
2168,002572,索菲亚,2026-07-14,2026-07-14,518,-0.03156246848135966,0.31666666666666665,180,10.0,0.04465351033975111,0.7166666666666667,-0.03496753003795644,0.11666666666666667,240,0.1,0.051649081957919604,0.7666666666666667
2169,605338,巴比食品,2026-07-14,2026-07-14,518,-0.03158114338125361,0.16666666666666666,120,10.0,0.047160865613819644,0.6,-0.0762614206638802,0.11666666666666667,120,0.1,0.057930928986531495,0.7833333333333333
2170,002425,凯撒文化,2026-07-14,2026-07-14,516,-0.03163507191362151,0.25,120,10.0,0.03200032566276621,0.7666666666666667,-0.04560406555538017,0.23333333333333334,120,1.0,0.043035765990273415,0.7666666666666667
2171,600841,动力新科,2026-07-14,2026-07-14,518,-0.031636962054778055,0.15,240,0.1,0.05144468093466143,0.6666666666666666,-0.0830974460658849,0.1,120,1.0,0.06857144203004113,0.8166666666666667
2172,002035,华帝股份,2026-07-14,2026-07-14,518,-0.031656343698151325,0.11666666666666667,240,10.0,0.03410380142278827,0.6,-0.03686400971301211,0.06666666666666667,240,0.1,0.03870499428400174,0.85
2173,600787,中储股份,2026-07-14,2026-07-14,518,-0.031668496278171476,0.18333333333333332,180,0.1,0.02571086663882199,0.65,-1.1602833631767229e-06,0.2833333333333333,120,1.0,0.02966118834295051,0.8
2174,002057,中钢天源,2026-07-14,2026-07-14,518,-0.03170261263848195,0.26666666666666666,120,0.1,0.062353816927105024,0.65,0.149698042022519,0.95,120,10.0,0.08346808814748043,0.6
2175,000568,泸州老窖,2026-07-14,2026-07-14,518,-0.031704812797319196,0.08333333333333333,240,10.0,0.030482970986822674,0.5,-0.084942586810627,0.03333333333333333,240,0.1,0.03665797918815709,0.7
2176,600866,星湖科技,2026-07-14,2026-07-14,518,-0.03182256549073386,0.25,120,1.0,0.031651645645551355,0.6833333333333333,0.018421007282988774,0.75,120,1.0,0.039533809427665795,0.9
2177,600596,新安股份,2026-07-14,2026-07-14,518,-0.0318516894821915,0.3,120,10.0,0.061659704280246384,0.5666666666666667,0.09001210169108574,0.85,120,10.0,0.08209056019333112,0.75
2178,002476,宝莫股份,2026-07-14,2026-07-14,518,-0.03185723432507963,0.11666666666666667,120,10.0,0.034786345390607876,0.6666666666666666,-0.03029299478355196,0.08333333333333333,120,10.0,0.044071660912195866,0.6
2179,601619,嘉泽新能,2026-07-14,2026-07-14,518,-0.03187098878934477,0.13333333333333333,180,0.1,0.06350869699871202,0.5,-0.01880420348232816,0.13333333333333333,240,10.0,0.09940627855237445,0.4
2180,603043,广州酒家,2026-07-14,2026-07-14,518,-0.031893333640039365,0.15,240,10.0,0.025797093932616432,0.55,-0.08083394706457157,0.08333333333333333,240,0.1,0.0326567125771867,0.6833333333333333
2181,603045,福达合金,2026-07-14,2026-07-14,518,-0.03190037629271999,0.4666666666666667,120,1.0,0.1405321420002183,0.6666666666666666,0.05965479050705831,0.6666666666666666,120,10.0,0.2063752275250782,0.7333333333333333
2182,603239,浙江仙通,2026-07-14,2026-07-14,518,-0.031924776133473234,0.13333333333333333,120,10.0,0.06777034592109558,0.5333333333333333,-0.004046035983389637,0.16666666666666666,120,10.0,0.09233037474894833,0.6166666666666667
2183,603496,恒为科技,2026-07-14,2026-07-14,509,-0.031937170945076095,0.36666666666666664,120,10.0,0.08070902310805204,0.5833333333333334,-0.028895549606843027,0.4166666666666667,120,10.0,0.10401858185418462,0.65
2184,000519,中兵红箭,2026-07-14,2026-07-14,518,-0.031937847926106794,0.35,120,10.0,0.05650513960737548,0.6166666666666667,-0.032732360427958566,0.35,240,10.0,0.05779684580842023,0.6333333333333333
2185,600797,浙大网新,2026-07-14,2026-07-14,518,-0.03201879364709644,0.16666666666666666,240,10.0,0.04366621265648162,0.6666666666666666,-0.10463598421766565,0.0,240,1.0,0.05389160883617481,0.6833333333333333
